Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2006
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Ukraine,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2006
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2007
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2007
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2007
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2007
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2007
Uganda,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2007
Ukraine,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2007
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2007
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2008
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2008
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2008
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2008
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2008
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2008
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2008
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2009
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2009
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Georgia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Mauritius,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2009
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2009
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2009
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2009
Uganda,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2009
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2009
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2009
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2010
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2010
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Georgia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Grenada,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
