Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year,VALUE
Uzbekistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2019,154.0
Kosovo under UNSCR 1244,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2019,25.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,37.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,1055.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,0.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2020,274.0
Azerbaijan,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2020,11.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,51.0
Bahamas,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,3.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,30.0
Belize,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,5.0
Bermuda,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2020,0.0
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,1246.0
Barbados,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,2.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2020,124.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,230.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,2456.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,202.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,462.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2020,1274.0
Dominica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,0.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,276.0
Dominican Republic,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,106.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2020,523.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,43.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,47.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,168.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2020,831.0
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,14.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,122.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,55.0
Grenada,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,2.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,134.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,209.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,87.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,215.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,11.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2020,107.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,67.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2020,296.0
Kazakhstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2020,228.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,0.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2020,5555.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,27.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,48.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2020,16.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,54.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2020,6.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,981.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,8.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,3.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2020,295.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,269.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2020,80.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,562.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,351.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,90.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,29.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,406.0
Russian Federation,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,3422.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2020,37.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,61.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2020,42.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2020,5.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2020,526.0
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2020,1.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2020,2255.0
Uzbekistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2020,141.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,36.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,1206.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,0.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,309.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2021,44.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,40.0
Belize,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,18.0
Bermuda,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2021,0.0
Barbados,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,0.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,133.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,441.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,2609.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,228.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2021,7.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2021,573.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,1331.0
Dominica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,0.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,261.0
Dominican Republic,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,208.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2021,564.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,499.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,46.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,40.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,199.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,1494.0
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,20.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,72.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,150.0
Grenada,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,12.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,878.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,30.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,599.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,81.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2021,225.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,16.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2021,120.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,36.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2021,301.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,1.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2021,5521.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,4.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,45.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,16.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,45.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2021,6.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,1797.0
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,15.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,12.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,1.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2021,328.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2021,355.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,267.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2021,121.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,318.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,2732.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,97.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,31.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2021,546.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2021,28.0
El Salvador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,894.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,46.0
Suriname,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,46.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2021,27.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,15.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2021,565.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2021,2965.0
Uruguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,62.0
Uzbekistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2021,160.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2021,0.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2021,9.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,36.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,1321.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2022,36.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,0.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,350.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2022,28.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,49.0
Belize,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,24.0
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,1020.0
Barbados,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,3.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,101.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,573.0
China,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,32163.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,2921.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,254.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2022,19.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2022,581.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,1127.0
Dominica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,0.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,248.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,471.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,50.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,28.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,220.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,1250.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,174.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,131.0
Grenada,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,18.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,904.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,13.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,363.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,111.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2022,268.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,17.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2022,143.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,27.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,276.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,1.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,5734.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,20.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,36.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,16.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,61.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,5.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,1790.0
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,11.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,6.0
Myanmar,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,375.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,1.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2022,349.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,245.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2022,140.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,522.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,4137.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,100.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,30.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2022,264.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2022,53.0
El Salvador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,922.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,43.0
Suriname,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,58.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2022,48.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,7.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2022,502.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2022,2975.0
Uruguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,82.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2022,0.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2022,15.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,21.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,1207.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2023,36.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,1.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,369.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2023,28.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,29.0
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,838.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,82.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,513.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,283.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2023,623.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,1202.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,263.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2023,644.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,374.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,33.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,32.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,294.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,1340.0
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,30.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,104.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,977.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,17.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,366.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,75.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2023,296.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,13.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,39.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2023,339.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2023,5914.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,14.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,46.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,21.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,61.0
Morocco,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2023,158.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,1894.0
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,6.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,4.0
Myanmar,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2023,304.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,4.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2023,362.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,210.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2023,153.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,637.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,4388.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,103.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2023,231.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Rape,Total,2023,45.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,53.0
Suriname,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2023,50.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2023,41.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2023,12.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2023,577.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2023,2866.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2009,5674.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2009,7902.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,1580.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,2271.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,1036.0
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,28645.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2009,714.0
Lebanon,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2009,127.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,356.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2009,7.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,2692.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2009,2862.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,2026.0
United States of America,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2009,25654.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2009,0.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2010,5827.0
Belgium,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,5698.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2010,7539.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,6683.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,1885.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,2384.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2010,83.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,1041.0
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,25531.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2010,636.0
Lebanon,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2010,222.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,453.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2010,73.0
Mauritius,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Drug trafficking,Total,2010,162.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,2692.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2010,3127.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,2441.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,479.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,355.0
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2010,7.0
United States of America,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2010,25245.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2010,0.0
South Africa,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Drug trafficking,Total,2010,9319.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2011,5743.0
